"Advisory Date","Hours UTC","Record Identifier","Status of system","Latitude","Longitude","Maximum sustained wind"
"18510625","2100","L","HU","28.2N","96.8W",80
"18510823","2100","L","MH","30.1N","85.7W",100
"18511019","1500","L","TS","41.1N","71.7W",50
"18520826","600","L","MH","30.2N","88.6W",100
"18520912","0","L","HU","28.0N","82.8W",70
"18521009","2100","L","HU","29.9N","84.4W",90
"18540626","1200","L","HU","26.2N","97.0W",70
"18540908","2000","L","MH","31.7N","81.1W",100
"18540918","2100","L","HU","28.9N","95.3W",90
"18550916","300","L","MH","29.2N","89.5W",110
"18560810","1800","L","MH","29.2N","91.1W",130
"18560819","1100","L","TS","34.8N","76.4W",50
"18560831","600","L","HU","30.2N","85.9W",90
"18570913","0","L","HU","33.9N","78.0W",90
"18570930","1000","L","TS","25.8N","97.0W",50
"18580914","1500","L","TS","27.6N","82.7W",60
"18580916","1700","L","HU","40.9N","72.2W",80
"18580916","1800","L","HU","41.4N","72.0W",70
"18590916","0","L","HU","30.3N","88.1W",70
"18591017","1600","L","TS","26.4N","80.1W",60
"18591028","1800","L","HU","27.7N","82.8W",80
"18600811","2000","L","MH","29.2N","90.0W",110
"18600915","400","L","HU","29.3N","89.6W",90
"18601002","1700","L","HU","29.5N","91.4W",90
"18610927","1700","L","HU","34.5N","77.4W",70
"18611007","1200","L","TS","35.3N","75.3W",50
"18611101","800","L","TS","26.0N","81.8W",60
"18611102","1000","L","HU","34.7N","76.6W",70
"18611103","800","L","TS","41.0N","72.3W",60
"18611103","900","L","TS","41.2N","72.0W",60
"18630918","1300","L","TS","34.6N","77.1W",60
"18630929","1200","L","TS","29.3N","94.8W",60
"18650630","1200","L","TS","26.0N","97.5W",50
"18650913","2100","L","HU","29.8N","93.4W",90
"18650907","0","L","TS","29.7N","92.0W",60
"18651023","1000","L","HU","24.6N","81.7W",90
"18651023","1400","L","HU","25.4N","81.1W",90
"18660715","1200","L","HU","28.5N","96.5W",90
"18670622","1400","L","HU","32.9N","79.7W",70
"18671004","1500","L","HU","29.2N","91.0W",90
"18671006","1500","L","HU","29.6N","83.4W",70
"18681004","1600","L","TS","29.9N","85.4W",60
"18690817","700","L","HU","28.1N","96.8W",90
"18690905","1200","L","HU","29.2N","90.0W",70
"18690908","2100","L","MH","41.0N","71.9W",100
"18690908","2200","L","MH","41.4N","71.7W",100
"18691004","1900","L","HU","41.3N","70.5W",90
"18691004","2000","L","HU","41.7N","70.4W",90
"18691004","2300","L","HU","43.7N","70.1W",90
"18700730","1800","L","HU","30.5N","88.0W",70
"18701020","1400","L","HU","24.7N","82.8W",80
"18701020","2000","L","HU","26.0N","81.8W",80
"18710604","700","L","TS","29.1N","95.1W",50
"18710609","1700","L","TS","29.2N","95.0W",50
"18710817","200","L","MH","27.1N","80.2W",100
"18710823","0","L","TS","31.2N","81.4W",60
"18710825","500","L","HU","27.1N","80.3W",90
"18710906","1400","L","HU","29.2N","83.0W",70
"18711005","1600","L","TS","30.0N","83.9W",60
"18720711","500","L","TS","29.1N","89.1W",50
"18720711","800","L","TS","30.2N","89.0W",50
"18721023","800","L","TS","27.9N","82.7W",50
"18721025","100","L","TS","34.4N","77.7W",50
"18730602","1100","L","TS","30.8N","81.4W",40
"18730919","1500","L","HU","29.9N","84.4W",70
"18730923","1000","L","TS","27.8N","82.8W",50
"18731007","100","L","MH","26.5N","82.2W",100
"18740704","2000","L","TS","28.5N","96.2W",50
"18740928","300","L","HU","29.1N","82.9W",70
"18740928","1800","L","HU","32.8N","80.0W",80
"18750916","2100","L","MH","27.7N","97.2W",100
"18750927","1300","L","TS","30.1N","85.7W",50
"18760917","1400","L","HU","34.4N","77.6W",80
"18761020","500","L","HU","25.8N","81.4W",90
"18770918","1600","L","HU","29.2N","91.0W",70
"18770919","2000","L","HU","30.4N","86.6W",70
"18771003","500","L","MH","30.0N","85.5W",100
"18771026","2100","L","TS","29.3N","83.2W",40
"18780702","1500","L","TS","26.0N","81.8W",40
"18780907","2100","L","TS","24.7N","80.9W",60
"18780908","200","L","TS","25.2N","81.0W",60
"18780910","1100","L","HU","28.6N","82.6W",90
"18780912","1200","L","HU","32.5N","80.4W",80
"18781010","2100","L","TS","29.9N","85.4W",50
"18781023","400","L","HU","34.8N","77.1W",90
"18790818","1200","L","MH","34.5N","76.8W",100
"18790819","600","L","HU","41.4N","70.8W",70
"18790823","200","L","HU","29.6N","94.4W",90
"18790901","1600","L","MH","29.5N","91.4W",110
"18791007","500","L","TS","29.0N","89.2W",50
"18791016","800","L","TS","30.4N","86.6W",50
"18791027","2100","L","TS","29.0N","82.7W",60
"18800624","1500","L","TS","28.7N","95.7W",40
"18800813","100","L","MH","25.8N","97.0W",130
"18800829","1200","L","HU","28.2N","80.6W",90
"18800831","400","L","HU","29.7N","84.8W",70
"18800908","1600","L","TS","29.8N","83.6W",50
"18800909","1000","L","HU","34.7N","77.1W",70
"18801008","1900","L","HU","28.7N","83.0W",70
"18801023","800","L","EX","41.3N","70.0W",60
"18801023","1300","L","EX","44.0N","68.8W",60
"18810803","1300","L","TS","30.2N","88.3W",50
"18810813","2100","L","TS","28.0N","96.9W",40
"18810828","200","L","HU","31.7N","81.1W",90
"18810909","1600","L","HU","33.9N","78.1W",90
"18820910","200","L","MH","30.4N","86.8W",110
"18820915","500","L","TS","29.8N","93.7W",50
"18820922","2200","L","TS","34.7N","77.0W",50
"18820924","500","L","TS","40.7N","72.8W",40
"18821011","400","L","HU","29.5N","83.3W",70
"18830911","1300","L","HU","33.9N","78.5W",90
"18840911","100","L","TS","31.6N","81.2W",40
"18850825","1200","L","HU","32.6N","80.1W",90
"18850830","2300","L","TS","30.1N","85.7W",50
"18850921","300","L","TS","29.0N","89.4W",50
"18850921","1200","L","TS","30.0N","85.6W",50
"18850926","400","L","TS","29.6N","89.0W",60
"18851011","2200","L","TS","29.4N","83.2W",60
"18860614","1600","L","HU","29.6N","94.2W",85
"18860621","1100","L","HU","30.1N","84.0W",85
"18860630","2100","L","HU","29.7N","85.2W",85
"18860719","100","L","HU","28.8N","82.7W",70
"18860820","1300","L","MH","28.1N","96.8W",130
"18861012","2200","L","MH","29.8N","93.5W",105
"18870614","700","L","TS","30.2N","88.7W",35
"18870727","1500","L","HU","30.4N","86.6W",75
"18870921","1700","L","HU","26.1N","97.2W",75
"18871019","200","L","HU","29.1N","90.4W",75
"18871030","100","L","TS","28.1N","82.8W",40
"18880617","600","L","HU","28.7N","95.7W",70
"18880705","1600","L","TS","28.8N","95.6W",50
"18880816","1900","L","MH","25.8N","80.1W",110
"18880819","1600","L","HU","29.1N","90.7W",95
"18880908","0","L","TS","26.7N","80.1W",45
"18880926","1300","L","HU","41.6N","69.9W",70
"18881011","100","L","HU","29.2N","83.1W",95
"18881011","1600","L","TS","33.9N","78.1W",60
"18890617","1500","L","TS","29.1N","82.9W",45
"18890923","400","L","HU","29.1N","89.8W",70
